id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
1167853b9cff97347fc7beb1c8ce92fc95486a1a,Abstracting Imperfect Information Away from Two-Player Zero-Sum Games,Samuel Sokota; Ryan D'Orazio; C. Ling; David J. Wu; J. Kolter; Noam Brown,International Conference on Machine Learning,2023,9,67,1,10.48550/arXiv.2301.09159,https://www.semanticscholar.org/paper/1167853b9cff97347fc7beb1c8ce92fc95486a1a
13ea908311e0a7df98316b22777a0540cd0e0dd9,Quick Fixes for Novice Programmers: Effective but Under-Utilised,Noam Brown; Jamie Ford; Pierre Weill-Tessier; Michael Kölling,UK & Ireland Computing Education Research Conference,2023,4,12,0,10.1145/3610969.3611117,https://www.semanticscholar.org/paper/13ea908311e0a7df98316b22777a0540cd0e0dd9
404f23ceced7ead2e91d36169da9937971468a09,Tracer dispersion due to non-Newtonian fluid flows in hydraulic fractures with different geometries and porous walls,Noam Brown; M. Dejam,Journal of Hydrology,2023,12,16,1,10.1016/j.jhydrol.2023.129644,https://www.semanticscholar.org/paper/404f23ceced7ead2e91d36169da9937971468a09
4ae6381b20fbc0c588cfe685be88352e05d7dce9,The community engagement course and action network: strengthening community and academic research partnerships to advance health equity,T. Akintobi; R. Barrett; L. Hoffman; S. Scott; K. Davis; T. Jones; Noam Brown; M. Fraire; R. Fraire; J. Garner; A. Gruner; J. Hill; R. Meckel; C. Obi; P. Omunga; Q. Parham; T. Rice; O. Samples; T. Terrill,Frontiers in Public Health,2023,12,32,0,10.3389/fpubh.2023.1114868,https://www.semanticscholar.org/paper/4ae6381b20fbc0c588cfe685be88352e05d7dce9
4e5ba683964272898f31cdb8a7331ccc27155333,Machine Learning-Based Automated Grading and Feedback Tools for Programming: A Meta-Analysis,Marcus Messer; Noam Brown; Michael Kölling; Miaojing Shi,Annual Conference on Innovation and Technology in Computer Science Education,2023,24,45,1,10.1145/3587102.3588822,https://www.semanticscholar.org/paper/4e5ba683964272898f31cdb8a7331ccc27155333
62b8c2158d0feacf0cba0d1276ef242a216ce339,The Update Equivalence Framework for Decision-Time Planning,Samuel Sokota; Gabriele Farina; David J. Wu; Hengyuan Hu; Kevin A. Wang; J. Kolter; Noam Brown,International Conference on Learning Representations,2023,7,69,1,10.48550/arXiv.2304.13138,https://www.semanticscholar.org/paper/62b8c2158d0feacf0cba0d1276ef242a216ce339
8a3f74b37841dfea72b51900bcdb5ff82e0a68fd,An eye tracking study assessing the impact of background styling in code editors on novice programmers’ code understanding,Kang-il Park; Pierre Weill-Tessier; Noam Brown; Bonita Sharif; N. Jensen; Michael Kölling,International Computing Education Research Workshop,2023,10,57,1,10.1145/3568813.3600133,https://www.semanticscholar.org/paper/8a3f74b37841dfea72b51900bcdb5ff82e0a68fd
fd5098c272f954f9a3ed27bc1e5f358a2638c12a,A Standardized Approach for Collection of Objective Data to Support Outcome Determination for Late-Phase TB Trials.,E. Kurbatova; P. Phillips; S. Dorman; E. Sizemore; Kia Bryant; Anne E. Purfield; Jessica N. Ricaldi; Noam Brown; John L. Johnson; C. Wallis; Joseph Akol; O. Ocheretina; Nguyen Van Hung; H. Mayanja-Kizza; Madeleine Lourens; R. Dawson; N. V. Nhung; Samuel Pierre; Y. Musodza; J. Shenje; S. Badal-Faesen; S. C. Vilbrun; Ziyaad Waja; L. Peddareddy; N. Scott; Yan Yuan; A. Vernon; S. Goldberg; S. Swindells; R. Chaisson; P. Nahid,American Journal of Respiratory and Critical Care Medicine,2023,4,0,0,10.1164/rccm.202206-1118OC,https://www.semanticscholar.org/paper/fd5098c272f954f9a3ed27bc1e5f358a2638c12a
3123010cd9cb6d682a730c6993761f14e408c78b,Increase Your Statistical Confidence,Noam Brown,Technical Symposium on Computer Science Education,2022,0,0,0,10.1145/3545947.3569617,https://www.semanticscholar.org/paper/3123010cd9cb6d682a730c6993761f14e408c78b
339e98ba636a894f872430af0045f0e340400c99,Novel Hendra Virus Variant Detected by Sentinel Surveillance of Horses in Australia,E. Annand; B. Horsburgh; Kai Xu; P. Reid; Ben Poole; Maximillian C. de Kantzow; Noam Brown; A. Tweedie; Michelle Michie; J. Grewar; A. Jackson; N. Singanallur; K. Plain; Karan Kim; M. Tachedjian; B. van der Heide; S. Crameri; David T. Williams; C. Secombe; E. Laing; Spencer L. Sterling; Lian-Ying Yan; L. Jackson; Cheryl A. Jones; R. Plowright; A. Peel; A. Breed; I. Diallo; N. Dhand; P. Britton; C. Broder; I. Smith; J. Eden,Emerging Infectious Diseases,2022,51,57,6,10.3201/eid2803.211245,https://www.semanticscholar.org/paper/339e98ba636a894f872430af0045f0e340400c99
