id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
859024deadf1f43343ecc1d6f903e6c11398dadb,Decoupled DiLoCo for Resilient Distributed Pre-training,Arthur Douillard; Keith Rush; Yani Donchev; Zachary Charles; Nova Fallen; Ayush Dubey; Ionel Gog; Josef Dean; Blake Woodworth; Zachary Garrett; Nate Keating; J. Bishop; Henry Prior; Edouard Yvinec; Arthur Szlam; M. Ranzato; J. Dean,arXiv.org,2026,5,87,1,10.48550/arXiv.2604.21428,https://www.semanticscholar.org/paper/859024deadf1f43343ecc1d6f903e6c11398dadb
4b5cbb924f06763a3c785d0ccfb3bc8bd765f4a5,Brainformers: Trading Simplicity for Efficiency,Yanqi Zhou; Nan Du; Yanping Huang; Daiyi Peng; Chang Lan; Da Huang; Siamak Shakeri; David R. So; Andrew M. Dai; Yifeng Lu; Zhifeng Chen; Quoc V. Le; Claire Cui; J.H.J. Laundon; J. Dean,International Conference on Machine Learning,2023,41,50,1,10.48550/arXiv.2306.00008,https://www.semanticscholar.org/paper/4b5cbb924f06763a3c785d0ccfb3bc8bd765f4a5
094ff971d6a8b8ff870946c9b3ce5aa173617bfb,PaLM: Scaling Language Modeling with Pathways,A. Chowdhery; Sharan Narang; Jacob Devlin; Maarten Bosma; Gaurav Mishra; Adam Roberts; P. Barham; Hyung Won Chung; Charles Sutton; Sebastian Gehrmann; P. Schuh; Kensen Shi; Sasha Tsvyashchenko; Joshua Maynez; Abhishek Rao; Parker Barnes; Yi Tay; Noam Shazeer; Vinodkumar Prabhakaran; Emily Reif; Nan Du; Ben Hutchinson; Reiner Pope; James Bradbury; Jacob Austin; M. Isard; Guy Gur-Ari; Pengcheng Yin; Toju Duke; Anselm Levskaya; S. Ghemawat; Sunipa Dev; H. Michalewski; Xavier García; Vedant Misra; Kevin Robinson; L. Fedus; Denny Zhou; Daphne Ippolito; D. Luan; Hyeontaek Lim; Barret Zoph; A. Spiridonov; Ryan Sepassi; David Dohan; Shivani Agrawal; Mark Omernick; Andrew M. Dai; Thanumalayan Sankaranarayana Pillai; Marie Pellat; Aitor Lewkowycz; Erica Moreira; R. Child; Oleksandr Polozov; Katherine Lee; Zongwei Zhou; Xuezhi Wang; Brennan Saeta; Mark Díaz; Orhan Firat; Michele Catasta; Jason Wei; K. Meier-Hellstern; D. Eck; J. Dean; Slav Petrov; Noah Fiedel,Journal of machine learning research,2022,8393,173,439,,https://www.semanticscholar.org/paper/094ff971d6a8b8ff870946c9b3ce5aa173617bfb
1bc9865ebf52b59abac7f5ee4456ff2ac37fcff3,ST-MoE: Designing Stable and Transferable Sparse Expert Models,Barret Zoph; Irwan Bello; Sameer Kumar; Nan Du; Yanping Huang; J. Dean; Noam Shazeer; W. Fedus,,2022,461,91,30,,https://www.semanticscholar.org/paper/1bc9865ebf52b59abac7f5ee4456ff2ac37fcff3
379e42895f6d40ab9e9559609f505aba89145a5d,Efficiently Scaling Transformer Inference,Reiner Pope; Sholto Douglas; A. Chowdhery; Jacob Devlin; James Bradbury; Anselm Levskaya; J. Heek; Kefan Xiao; Shivani Agrawal; J. Dean,Conference on Machine Learning and Systems,2022,754,52,35,10.48550/arXiv.2211.05102,https://www.semanticscholar.org/paper/379e42895f6d40ab9e9559609f505aba89145a5d
76cb108e37d9d2a06f5a49df04e993f5fb123c26,"The Carbon Footprint of Machine Learning Training Will Plateau, Then Shrink",David A. Patterson; Joseph Gonzalez; Urs Holzle; Quoc V. Le; Chen Liang; Lluís-Miquel Munguía; D. Rothchild; David R. So; Maud Texier; J. Dean,Computer,2022,496,31,50,10.36227/techrxiv.19139645,https://www.semanticscholar.org/paper/76cb108e37d9d2a06f5a49df04e993f5fb123c26
77a256e1033c7c521ebbec416b5804f6cba13748,Author Correction: A graph placement methodology for fast chip design,Azalia Mirhoseini; Anna Goldie; Mustafa Yazgan; J. Jiang; Ebrahim M. Songhori; Shen Wang; Young-Joon Lee; Eric Johnson; Omkar Pathak; Azade Nazi; Jiwoo Pak; Andy Tong; K. Srinivasa; W. Hang; Emre Tuncer; Quoc V. Le; J. Laudon; Richard Ho; Roger Carpenter; J. Dean,Nature,2022,5,0,1,10.1038/s41586-022-04657-6,https://www.semanticscholar.org/paper/77a256e1033c7c521ebbec416b5804f6cba13748
7ae40d924c7224757e860632530ec5ccb02d209c,muNet: Evolving Pretrained Deep Neural Networks into Scalable Auto-tuning Multitask Systems,Andrea Gesmundo; J. Dean,arXiv.org,2022,22,50,3,10.48550/arXiv.2205.10937,https://www.semanticscholar.org/paper/7ae40d924c7224757e860632530ec5ccb02d209c
c9866e126cb70229e2017087f84b5db446f25a20,An Evolutionary Approach to Dynamic Introduction of Tasks in Large-scale Multitask Learning Systems,Andrea Gesmundo; J. Dean,arXiv.org,2022,31,97,6,10.48550/arXiv.2205.12755,https://www.semanticscholar.org/paper/c9866e126cb70229e2017087f84b5db446f25a20
ca086f4c09cf8de705830ac2b70951737fab93ca,A Review of Sparse Expert Models in Deep Learning,W. Fedus; J. Dean; Barret Zoph,arXiv.org,2022,215,90,11,10.48550/arXiv.2209.01667,https://www.semanticscholar.org/paper/ca086f4c09cf8de705830ac2b70951737fab93ca
cdbd4f9b6ab2e2fd1ddf5400d5ed2c18960635d1,Scaling Instruction-Finetuned Language Models,Hyung Won Chung; Le Hou; S. Longpre; Barret Zoph; Yi Tay; W. Fedus; Eric Li; Xuezhi Wang; Mostafa Dehghani; Siddhartha Brahma; Albert Webson; S. Gu; Zhuyun Dai; Mirac Suzgun; Xinyun Chen; A. Chowdhery; Dasha Valter; Sharan Narang; Gaurav Mishra; Adams Wei Yu; Vincent Y. Zhao; Yanping Huang; Andrew M. Dai; Hongkun Yu; Slav Petrov; Ed H. Chi; J. Dean; Jacob Devlin; Adam Roberts; Denny Zhou; Quoc V. Le; Jason Wei,Journal of machine learning research,2022,4423,106,454,10.48550/arXiv.2210.11416,https://www.semanticscholar.org/paper/cdbd4f9b6ab2e2fd1ddf5400d5ed2c18960635d1
dac3a172b504f4e33c029655e9befb3386e5f63a,Emergent Abilities of Large Language Models,Jason Wei; Yi Tay; Rishi Bommasani; Colin Raffel; Barret Zoph; Sebastian Borgeaud; Dani Yogatama; Maarten Bosma; Denny Zhou; Donald Metzler; Ed H. Chi; Tatsunori B. Hashimoto; O. Vinyals; P. Liang; J. Dean; W. Fedus,Trans. Mach. Learn. Res.,2022,3833,107,194,10.48550/arXiv.2206.07682,https://www.semanticscholar.org/paper/dac3a172b504f4e33c029655e9befb3386e5f63a
e47da75675b9a3fe02ef1efadca39bc8cdfcdc17,Designing Effective Sparse Expert Models,Barret Zoph; Irwan Bello; Sameer Kumar; Nan Du; Yanping Huang; J. Dean; Noam Shazeer; W. Fedus,"IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum",2022,122,91,9,10.1109/IPDPSW55747.2022.00171,https://www.semanticscholar.org/paper/e47da75675b9a3fe02ef1efadca39bc8cdfcdc17
